Time, x, y, z,,,,,,,,,,,
10.77508481,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.79217585,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.82795485,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.8575929,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.88831075,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.91673286,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.93904694,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.95714791,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.98670681,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
11.01932796,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
11.04572995,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
11.07273586,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
11.09867676,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
11.12442883,-1.685,-11.492,7.508,191.275353,4.030233295,CHANGE,,,,,,,,
11.14760192,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.16711386,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.44933374,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.47996076,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.50563081,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.52915795,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.54710777,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.60829289,-1.685,-11.492,7.508,191.275353,4.030233295,STABLE,,,,,,,,
11.6375738,-0.612,-12.565,2.451,164.26117,3.016441394,CHANGE,,,,,,,,
11.66081388,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.68884094,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.72152288,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.75865586,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.78363188,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.84076701,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.86511909,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.87832104,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.90812288,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
11.93537603,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
12.11891304,-0.612,-12.565,2.451,164.26117,3.016441394,STABLE,,,,,,,,
12.13957988,-5.363,-9.807,-4.29,143.343118,2.172598632,CHANGE,,,,,,,,
12.16652595,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.19136797,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.21542798,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.23882209,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.26965104,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.29833995,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.32307492,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.35149489,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.37675105,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.41282402,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.43644892,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.5205289,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.56780065,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.59274471,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.68415773,-5.363,-9.807,-4.29,143.343118,2.172598632,STABLE,,,,,,,,
12.71041072,1.072,-11.186,-0.306,126.369416,1.441415213,CHANGE,,,,,,,,
12.73690475,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.75976575,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.7903756,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.82662261,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.86691964,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.91216362,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.93222368,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.96081365,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
12.97759164,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
13.00164259,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
13.02956856,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
13.05962766,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
13.08960379,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
13.11758578,1.072,-11.186,-0.306,126.369416,1.441415213,STABLE,,,,,,,,
13.14073074,-2.145,-5.976,-4.75,62.876101,-1.870554811,CHANGE,,,,,,,,
13.17891968,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.41500676,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.43764461,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.44965661,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.46473158,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.49312366,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.52285564,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.54656065,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.57109058,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.60587371,-2.145,-5.976,-4.75,62.876101,-1.870554811,STABLE,,,,,,,,
13.63636458,-1.685,-9.04,-0.919,85.405386,-0.558496551,CHANGE,,,,,,,,
13.65784967,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.69167364,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.71549857,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.74395478,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.76755679,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.79725159,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.85243762,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
13.89297379,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
14.08385265,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
14.10683263,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
14.13572562,-1.685,-9.04,-0.919,85.405386,-0.558496551,STABLE,,,,,,,,
14.15621078,0.153,-5.516,1.379,32.351306,-4.112179152,CHANGE,,,,,,,,
14.16571677,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.18394268,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.21871675,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.24462259,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.27011264,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.29382861,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.32176269,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.34445179,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.37073458,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.3943106,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.42285359,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
